Sexo;Nacionalidad;Edad;Número de delitos;Periodo;Total
Total;Extranjera;De 26 a 30 años;Condenados con cuatro o más delitos;2017;426
Total;Extranjera;De 26 a 30 años;Condenados con cuatro o más delitos;2016;328
Total;Extranjera;De 26 a 30 años;Condenados con cuatro o más delitos;2015;173
Total;Extranjera;De 26 a 30 años;Condenados con cuatro o más delitos;2014;154
Total;Extranjera;De 26 a 30 años;Condenados con cuatro o más delitos;2013;136
Total;Extranjera;De 31 a 35 años;Total;2021;11.667
Total;Extranjera;De 31 a 35 años;Total;2020;9.310
Total;Extranjera;De 31 a 35 años;Total;2019;12.236
Total;Extranjera;De 31 a 35 años;Total;2018;11.861
Total;Extranjera;De 31 a 35 años;Total;2017;11.534
Total;Extranjera;De 31 a 35 años;Total;2016;11.462
Total;Extranjera;De 31 a 35 años;Total;2015;10.079
Total;Extranjera;De 31 a 35 años;Total;2014;10.457
Total;Extranjera;De 31 a 35 años;Total;2013;11.050
Total;Extranjera;De 31 a 35 años;Condenados con un delito;2021;8.642
Total;Extranjera;De 31 a 35 años;Condenados con un delito;2020;7.010
Total;Extranjera;De 31 a 35 años;Condenados con un delito;2019;9.191
Total;Extranjera;De 31 a 35 años;Condenados con un delito;2018;8.898
Total;Extranjera;De 31 a 35 años;Condenados con un delito;2017;8.842
Total;Extranjera;De 31 a 35 años;Condenados con un delito;2016;8.985
Total;Extranjera;De 31 a 35 años;Condenados con un delito;2015;8.029
Total;Extranjera;De 31 a 35 años;Condenados con un delito;2014;8.563
Total;Extranjera;De 31 a 35 años;Condenados con un delito;2013;9.156
Total;Extranjera;De 31 a 35 años;Condenados con dos delitos;2021;1.935
Total;Extranjera;De 31 a 35 años;Condenados con dos delitos;2020;1.530
Total;Extranjera;De 31 a 35 años;Condenados con dos delitos;2019;1.981
Total;Extranjera;De 31 a 35 años;Condenados con dos delitos;2018;1.908
Total;Extranjera;De 31 a 35 años;Condenados con dos delitos;2017;1.744
Total;Extranjera;De 31 a 35 años;Condenados con dos delitos;2016;1.686
Total;Extranjera;De 31 a 35 años;Condenados con dos delitos;2015;1.500
Total;Extranjera;De 31 a 35 años;Condenados con dos delitos;2014;1.427
Total;Extranjera;De 31 a 35 años;Condenados con dos delitos;2013;1.435
Total;Extranjera;De 31 a 35 años;Condenados con tres delitos;2021;590
Total;Extranjera;De 31 a 35 años;Condenados con tres delitos;2020;425
Total;Extranjera;De 31 a 35 años;Condenados con tres delitos;2019;535
Total;Extranjera;De 31 a 35 años;Condenados con tres delitos;2018;545
Total;Extranjera;De 31 a 35 años;Condenados con tres delitos;2017;543
Total;Extranjera;De 31 a 35 años;Condenados con tres delitos;2016;473
Total;Extranjera;De 31 a 35 años;Condenados con tres delitos;2015;348
Total;Extranjera;De 31 a 35 años;Condenados con tres delitos;2014;316
Total;Extranjera;De 31 a 35 años;Condenados con tres delitos;2013;290
Total;Extranjera;De 31 a 35 años;Condenados con cuatro o más delitos;2021;500
Total;Extranjera;De 31 a 35 años;Condenados con cuatro o más delitos;2020;345
Total;Extranjera;De 31 a 35 años;Condenados con cuatro o más delitos;2019;529
Total;Extranjera;De 31 a 35 años;Condenados con cuatro o más delitos;2018;510
Total;Extranjera;De 31 a 35 años;Condenados con cuatro o más delitos;2017;405
Total;Extranjera;De 31 a 35 años;Condenados con cuatro o más delitos;2016;318
Total;Extranjera;De 31 a 35 años;Condenados con cuatro o más delitos;2015;202
Total;Extranjera;De 31 a 35 años;Condenados con cuatro o más delitos;2014;151
Total;Extranjera;De 31 a 35 años;Condenados con cuatro o más delitos;2013;169
Total;Extranjera;De 36 a 40 años;Total;2021;10.800
Total;Extranjera;De 36 a 40 años;Total;2020;8.518
Total;Extranjera;De 36 a 40 años;Total;2019;11.169
Total;Extranjera;De 36 a 40 años;Total;2018;10.789
Total;Extranjera;De 36 a 40 años;Total;2017;10.110
Total;Extranjera;De 36 a 40 años;Total;2016;9.727
Total;Extranjera;De 36 a 40 años;Total;2015;7.973
Total;Extranjera;De 36 a 40 años;Total;2014;7.755
Total;Extranjera;De 36 a 40 años;Total;2013;7.966
Total;Extranjera;De 36 a 40 años;Condenados con un delito;2021;8.047
Total;Extranjera;De 36 a 40 años;Condenados con un delito;2020;6.505
Total;Extranjera;De 36 a 40 años;Condenados con un delito;2019;8.404
Total;Extranjera;De 36 a 40 años;Condenados con un delito;2018;8.265
Total;Extranjera;De 36 a 40 años;Condenados con un delito;2017;7.815
Total;Extranjera;De 36 a 40 años;Condenados con un delito;2016;7.691
Total;Extranjera;De 36 a 40 años;Condenados con un delito;2015;6.370
Total;Extranjera;De 36 a 40 años;Condenados con un delito;2014;6.259
Total;Extranjera;De 36 a 40 años;Condenados con un delito;2013;6.535
Total;Extranjera;De 36 a 40 años;Condenados con dos delitos;2021;1.782
Total;Extranjera;De 36 a 40 años;Condenados con dos delitos;2020;1.327
Total;Extranjera;De 36 a 40 años;Condenados con dos delitos;2019;1.845
Total;Extranjera;De 36 a 40 años;Condenados con dos delitos;2018;1.715
Total;Extranjera;De 36 a 40 años;Condenados con dos delitos;2017;1.559
Total;Extranjera;De 36 a 40 años;Condenados con dos delitos;2016;1.410
Total;Extranjera;De 36 a 40 años;Condenados con dos delitos;2015;1.180
Total;Extranjera;De 36 a 40 años;Condenados con dos delitos;2014;1.162
Total;Extranjera;De 36 a 40 años;Condenados con dos delitos;2013;1.110
Total;Extranjera;De 36 a 40 años;Condenados con tres delitos;2021;568
Total;Extranjera;De 36 a 40 años;Condenados con tres delitos;2020;385
Total;Extranjera;De 36 a 40 años;Condenados con tres delitos;2019;493
Total;Extranjera;De 36 a 40 años;Condenados con tres delitos;2018;435
Total;Extranjera;De 36 a 40 años;Condenados con tres delitos;2017;442
Total;Extranjera;De 36 a 40 años;Condenados con tres delitos;2016;371
Total;Extranjera;De 36 a 40 años;Condenados con tres delitos;2015;264
Total;Extranjera;De 36 a 40 años;Condenados con tres delitos;2014;220
Total;Extranjera;De 36 a 40 años;Condenados con tres delitos;2013;212
Total;Extranjera;De 36 a 40 años;Condenados con cuatro o más delitos;2021;403
Total;Extranjera;De 36 a 40 años;Condenados con cuatro o más delitos;2020;301
Total;Extranjera;De 36 a 40 años;Condenados con cuatro o más delitos;2019;427
Total;Extranjera;De 36 a 40 años;Condenados con cuatro o más delitos;2018;374
Total;Extranjera;De 36 a 40 años;Condenados con cuatro o más delitos;2017;294
Total;Extranjera;De 36 a 40 años;Condenados con cuatro o más delitos;2016;255
Total;Extranjera;De 36 a 40 años;Condenados con cuatro o más delitos;2015;159
Total;Extranjera;De 36 a 40 años;Condenados con cuatro o más delitos;2014;114
Total;Extranjera;De 36 a 40 años;Condenados con cuatro o más delitos;2013;109
Total;Extranjera;De 41 a 50 años;Total;2021;13.236
Total;Extranjera;De 41 a 50 años;Total;2020;10.354
Total;Extranjera;De 41 a 50 años;Total;2019;12.891
Total;Extranjera;De 41 a 50 años;Total;2018;12.042
Total;Extranjera;De 41 a 50 años;Total;2017;10.989
Total;Extranjera;De 41 a 50 años;Total;2016;10.527
Total;Extranjera;De 41 a 50 años;Total;2015;8.491
Total;Extranjera;De 41 a 50 años;Total;2014;8.134
Total;Extranjera;De 41 a 50 años;Total;2013;8.287
Total;Extranjera;De 41 a 50 años;Condenados con un delito;2021;10.048
Total;Extranjera;De 41 a 50 años;Condenados con un delito;2020;8.023
Total;Extranjera;De 41 a 50 años;Condenados con un delito;2019;9.841
Total;Extranjera;De 41 a 50 años;Condenados con un delito;2018;9.401
Total;Extranjera;De 41 a 50 años;Condenados con un delito;2017;8.637
Total;Extranjera;De 41 a 50 años;Condenados con un delito;2016;8.407
Total;Extranjera;De 41 a 50 años;Condenados con un delito;2015;6.854
Total;Extranjera;De 41 a 50 años;Condenados con un delito;2014;6.783
Total;Extranjera;De 41 a 50 años;Condenados con un delito;2013;6.915
Total;Extranjera;De 41 a 50 años;Condenados con dos delitos;2021;2.169
Total;Extranjera;De 41 a 50 años;Condenados con dos delitos;2020;1.588
Total;Extranjera;De 41 a 50 años;Condenados con dos delitos;2019;2.030
Total;Extranjera;De 41 a 50 años;Condenados con dos delitos;2018;1.744
Total;Extranjera;De 41 a 50 años;Condenados con dos delitos;2017;1.600
Total;Extranjera;De 41 a 50 años;Condenados con dos delitos;2016;1.504
Total;Extranjera;De 41 a 50 años;Condenados con dos delitos;2015;1.226
Total;Extranjera;De 41 a 50 años;Condenados con dos delitos;2014;1.036
Total;Extranjera;De 41 a 50 años;Condenados con dos delitos;2013;1.107
Total;Extranjera;De 41 a 50 años;Condenados con tres delitos;2021;572
Total;Extranjera;De 41 a 50 años;Condenados con tres delitos;2020;426
Total;Extranjera;De 41 a 50 años;Condenados con tres delitos;2019;562
Total;Extranjera;De 41 a 50 años;Condenados con tres delitos;2018;529
Total;Extranjera;De 41 a 50 años;Condenados con tres delitos;2017;432
Total;Extranjera;De 41 a 50 años;Condenados con tres delitos;2016;381
Total;Extranjera;De 41 a 50 años;Condenados con tres delitos;2015;278
Total;Extranjera;De 41 a 50 años;Condenados con tres delitos;2014;233
Total;Extranjera;De 41 a 50 años;Condenados con tres delitos;2013;191
Total;Extranjera;De 41 a 50 años;Condenados con cuatro o más delitos;2021;447
Total;Extranjera;De 41 a 50 años;Condenados con cuatro o más delitos;2020;317
Total;Extranjera;De 41 a 50 años;Condenados con cuatro o más delitos;2019;458
Total;Extranjera;De 41 a 50 años;Condenados con cuatro o más delitos;2018;368
Total;Extranjera;De 41 a 50 años;Condenados con cuatro o más delitos;2017;320
Total;Extranjera;De 41 a 50 años;Condenados con cuatro o más delitos;2016;235
Total;Extranjera;De 41 a 50 años;Condenados con cuatro o más delitos;2015;133
Total;Extranjera;De 41 a 50 años;Condenados con cuatro o más delitos;2014;82
Total;Extranjera;De 41 a 50 años;Condenados con cuatro o más delitos;2013;74
Total;Extranjera;De 51 a 60 años;Total;2021;4.514
Total;Extranjera;De 51 a 60 años;Total;2020;3.442
Total;Extranjera;De 51 a 60 años;Total;2019;4.289
Total;Extranjera;De 51 a 60 años;Total;2018;3.831
Total;Extranjera;De 51 a 60 años;Total;2017;3.419
Total;Extranjera;De 51 a 60 años;Total;2016;3.186
Total;Extranjera;De 51 a 60 años;Total;2015;2.429
Total;Extranjera;De 51 a 60 años;Total;2014;2.189
Total;Extranjera;De 51 a 60 años;Total;2013;2.134
Total;Extranjera;De 51 a 60 años;Condenados con un delito;2021;3.556
Total;Extranjera;De 51 a 60 años;Condenados con un delito;2020;2.738
Total;Extranjera;De 51 a 60 años;Condenados con un delito;2019;3.401
Total;Extranjera;De 51 a 60 años;Condenados con un delito;2018;3.083
Total;Extranjera;De 51 a 60 años;Condenados con un delito;2017;2.796
Total;Extranjera;De 51 a 60 años;Condenados con un delito;2016;2.644
Total;Extranjera;De 51 a 60 años;Condenados con un delito;2015;2.018
Total;Extranjera;De 51 a 60 años;Condenados con un delito;2014;1.848
Total;Extranjera;De 51 a 60 años;Condenados con un delito;2013;1.841
Total;Extranjera;De 51 a 60 años;Condenados con dos delitos;2021;655
Total;Extranjera;De 51 a 60 años;Condenados con dos delitos;2020;523
Total;Extranjera;De 51 a 60 años;Condenados con dos delitos;2019;620
Total;Extranjera;De 51 a 60 años;Condenados con dos delitos;2018;555
Total;Extranjera;De 51 a 60 años;Condenados con dos delitos;2017;446
Total;Extranjera;De 51 a 60 años;Condenados con dos delitos;2016;405
Total;Extranjera;De 51 a 60 años;Condenados con dos delitos;2015;327
Total;Extranjera;De 51 a 60 años;Condenados con dos delitos;2014;269
Total;Extranjera;De 51 a 60 años;Condenados con dos delitos;2013;222
Total;Extranjera;De 51 a 60 años;Condenados con tres delitos;2021;172
Total;Extranjera;De 51 a 60 años;Condenados con tres delitos;2020;103
Total;Extranjera;De 51 a 60 años;Condenados con tres delitos;2019;157
Total;Extranjera;De 51 a 60 años;Condenados con tres delitos;2018;114
Total;Extranjera;De 51 a 60 años;Condenados con tres delitos;2017;107
Total;Extranjera;De 51 a 60 años;Condenados con tres delitos;2016;88
Total;Extranjera;De 51 a 60 años;Condenados con tres delitos;2015;57
Total;Extranjera;De 51 a 60 años;Condenados con tres delitos;2014;49
Total;Extranjera;De 51 a 60 años;Condenados con tres delitos;2013;56
Total;Extranjera;De 51 a 60 años;Condenados con cuatro o más delitos;2021;131
Total;Extranjera;De 51 a 60 años;Condenados con cuatro o más delitos;2020;78
Total;Extranjera;De 51 a 60 años;Condenados con cuatro o más delitos;2019;111
Total;Extranjera;De 51 a 60 años;Condenados con cuatro o más delitos;2018;79
Total;Extranjera;De 51 a 60 años;Condenados con cuatro o más delitos;2017;70
Total;Extranjera;De 51 a 60 años;Condenados con cuatro o más delitos;2016;49
Total;Extranjera;De 51 a 60 años;Condenados con cuatro o más delitos;2015;27
Total;Extranjera;De 51 a 60 años;Condenados con cuatro o más delitos;2014;23
Total;Extranjera;De 51 a 60 años;Condenados con cuatro o más delitos;2013;15
Total;Extranjera;De 61 a 70 años;Total;2021;1.022
Total;Extranjera;De 61 a 70 años;Total;2020;783
Total;Extranjera;De 61 a 70 años;Total;2019;998
Total;Extranjera;De 61 a 70 años;Total;2018;897
Total;Extranjera;De 61 a 70 años;Total;2017;786
Total;Extranjera;De 61 a 70 años;Total;2016;681
Total;Extranjera;De 61 a 70 años;Total;2015;470
Total;Extranjera;De 61 a 70 años;Total;2014;442
Total;Extranjera;De 61 a 70 años;Total;2013;463
Total;Extranjera;De 61 a 70 años;Condenados con un delito;2021;814
Total;Extranjera;De 61 a 70 años;Condenados con un delito;2020;650
Total;Extranjera;De 61 a 70 años;Condenados con un delito;2019;812
Total;Extranjera;De 61 a 70 años;Condenados con un delito;2018;746
Total;Extranjera;De 61 a 70 años;Condenados con un delito;2017;667
Total;Extranjera;De 61 a 70 años;Condenados con un delito;2016;575
Total;Extranjera;De 61 a 70 años;Condenados con un delito;2015;408
Total;Extranjera;De 61 a 70 años;Condenados con un delito;2014;381
Total;Extranjera;De 61 a 70 años;Condenados con un delito;2013;408
Total;Extranjera;De 61 a 70 años;Condenados con dos delitos;2021;149
Total;Extranjera;De 61 a 70 años;Condenados con dos delitos;2020;103
Total;Extranjera;De 61 a 70 años;Condenados con dos delitos;2019;133
Total;Extranjera;De 61 a 70 años;Condenados con dos delitos;2018;121
Total;Extranjera;De 61 a 70 años;Condenados con dos delitos;2017;93
Total;Extranjera;De 61 a 70 años;Condenados con dos delitos;2016;80
Total;Extranjera;De 61 a 70 años;Condenados con dos delitos;2015;48
Total;Extranjera;De 61 a 70 años;Condenados con dos delitos;2014;52
Total;Extranjera;De 61 a 70 años;Condenados con dos delitos;2013;48
Total;Extranjera;De 61 a 70 años;Condenados con tres delitos;2021;33
Total;Extranjera;De 61 a 70 años;Condenados con tres delitos;2020;19
Total;Extranjera;De 61 a 70 años;Condenados con tres delitos;2019;30
Total;Extranjera;De 61 a 70 años;Condenados con tres delitos;2018;18
Total;Extranjera;De 61 a 70 años;Condenados con tres delitos;2017;16
Total;Extranjera;De 61 a 70 años;Condenados con tres delitos;2016;21
Total;Extranjera;De 61 a 70 años;Condenados con tres delitos;2015;11
Total;Extranjera;De 61 a 70 años;Condenados con tres delitos;2014;7
Total;Extranjera;De 61 a 70 años;Condenados con tres delitos;2013;4
Total;Extranjera;De 61 a 70 años;Condenados con cuatro o más delitos;2021;26
Total;Extranjera;De 61 a 70 años;Condenados con cuatro o más delitos;2020;11
Total;Extranjera;De 61 a 70 años;Condenados con cuatro o más delitos;2019;23
Total;Extranjera;De 61 a 70 años;Condenados con cuatro o más delitos;2018;12
Total;Extranjera;De 61 a 70 años;Condenados con cuatro o más delitos;2017;10
Total;Extranjera;De 61 a 70 años;Condenados con cuatro o más delitos;2016;5
Total;Extranjera;De 61 a 70 años;Condenados con cuatro o más delitos;2015;3
Total;Extranjera;De 61 a 70 años;Condenados con cuatro o más delitos;2014;2
Total;Extranjera;De 61 a 70 años;Condenados con cuatro o más delitos;2013;3
Total;Extranjera;71 y más años;Total;2021;229
Total;Extranjera;71 y más años;Total;2020;170
Total;Extranjera;71 y más años;Total;2019;213
Total;Extranjera;71 y más años;Total;2018;209
Total;Extranjera;71 y más años;Total;2017;193
Total;Extranjera;71 y más años;Total;2016;167
Total;Extranjera;71 y más años;Total;2015;100
Total;Extranjera;71 y más años;Total;2014;93
Total;Extranjera;71 y más años;Total;2013;92
Total;Extranjera;71 y más años;Condenados con un delito;2021;192
Total;Extranjera;71 y más años;Condenados con un delito;2020;142
Total;Extranjera;71 y más años;Condenados con un delito;2019;184
Total;Extranjera;71 y más años;Condenados con un delito;2018;184
Total;Extranjera;71 y más años;Condenados con un delito;2017;162
Total;Extranjera;71 y más años;Condenados con un delito;2016;151
Total;Extranjera;71 y más años;Condenados con un delito;2015;95
Total;Extranjera;71 y más años;Condenados con un delito;2014;80
Total;Extranjera;71 y más años;Condenados con un delito;2013;77
Total;Extranjera;71 y más años;Condenados con dos delitos;2021;30
Total;Extranjera;71 y más años;Condenados con dos delitos;2020;23
Total;Extranjera;71 y más años;Condenados con dos delitos;2019;23
Total;Extranjera;71 y más años;Condenados con dos delitos;2018;18
Total;Extranjera;71 y más años;Condenados con dos delitos;2017;25
Total;Extranjera;71 y más años;Condenados con dos delitos;2016;12
Total;Extranjera;71 y más años;Condenados con dos delitos;2015;5
Total;Extranjera;71 y más años;Condenados con dos delitos;2014;10
Total;Extranjera;71 y más años;Condenados con dos delitos;2013;11
Total;Extranjera;71 y más años;Condenados con tres delitos;2021;5
Total;Extranjera;71 y más años;Condenados con tres delitos;2020;4
Total;Extranjera;71 y más años;Condenados con tres delitos;2019;3
Total;Extranjera;71 y más años;Condenados con tres delitos;2018;5
Total;Extranjera;71 y más años;Condenados con tres delitos;2017;5
Total;Extranjera;71 y más años;Condenados con tres delitos;2016;2
Total;Extranjera;71 y más años;Condenados con tres delitos;2015;0
Total;Extranjera;71 y más años;Condenados con tres delitos;2014;2
Total;Extranjera;71 y más años;Condenados con tres delitos;2013;2
Total;Extranjera;71 y más años;Condenados con cuatro o más delitos;2021;2
Total;Extranjera;71 y más años;Condenados con cuatro o más delitos;2020;1
Total;Extranjera;71 y más años;Condenados con cuatro o más delitos;2019;3
Total;Extranjera;71 y más años;Condenados con cuatro o más delitos;2018;2
Total;Extranjera;71 y más años;Condenados con cuatro o más delitos;2017;1
Total;Extranjera;71 y más años;Condenados con cuatro o más delitos;2016;2
Total;Extranjera;71 y más años;Condenados con cuatro o más delitos;2015;0
Total;Extranjera;71 y más años;Condenados con cuatro o más delitos;2014;1
Total;Extranjera;71 y más años;Condenados con cuatro o más delitos;2013;2
Hombres;Total;Total ;Total;2021;227.789
Hombres;Total;Total ;Total;2020;178.256
Hombres;Total;Total ;Total;2019;227.722
Hombres;Total;Total ;Total;2018;227.211
Hombres;Total;Total ;Total;2017;225.753
Hombres;Total;Total ;Total;2016;219.280
Hombres;Total;Total ;Total;2015;190.876
Hombres;Total;Total ;Total;2014;191.608
Hombres;Total;Total ;Total;2013;194.596
Hombres;Total;Total ;Condenados con un delito;2021;166.859
Hombres;Total;Total ;Condenados con un delito;2020;133.673
Hombres;Total;Total ;Condenados con un delito;2019;169.664
Hombres;Total;Total ;Condenados con un delito;2018;171.536
Hombres;Total;Total ;Condenados con un delito;2017;172.521
Hombres;Total;Total ;Condenados con un delito;2016;170.816
Hombres;Total;Total ;Condenados con un delito;2015;151.481
Hombres;Total;Total ;Condenados con un delito;2014;154.794
Hombres;Total;Total ;Condenados con un delito;2013;159.213
Hombres;Total;Total ;Condenados con dos delitos;2021;38.246
Hombres;Total;Total ;Condenados con dos delitos;2020;28.869
Hombres;Total;Total ;Condenados con dos delitos;2019;36.894
Hombres;Total;Total ;Condenados con dos delitos;2018;35.645
Hombres;Total;Total ;Condenados con dos delitos;2017;34.543
Hombres;Total;Total ;Condenados con dos delitos;2016;32.415
Hombres;Total;Total ;Condenados con dos delitos;2015;27.864
Hombres;Total;Total ;Condenados con dos delitos;2014;26.472
Hombres;Total;Total ;Condenados con dos delitos;2013;25.757
Hombres;Total;Total ;Condenados con tres delitos;2021;12.203
Hombres;Total;Total ;Condenados con tres delitos;2020;8.723
Hombres;Total;Total ;Condenados con tres delitos;2019;11.386
Hombres;Total;Total ;Condenados con tres delitos;2018;10.948
Hombres;Total;Total ;Condenados con tres delitos;2017;10.364
Hombres;Total;Total ;Condenados con tres delitos;2016;9.210
Hombres;Total;Total ;Condenados con tres delitos;2015;7.114
Hombres;Total;Total ;Condenados con tres delitos;2014;6.528
Hombres;Total;Total ;Condenados con tres delitos;2013;6.109
Hombres;Total;Total ;Condenados con cuatro o más delitos;2021;10.481
Hombres;Total;Total ;Condenados con cuatro o más delitos;2020;6.991
Hombres;Total;Total ;Condenados con cuatro o más delitos;2019;9.778
Hombres;Total;Total ;Condenados con cuatro o más delitos;2018;9.082
Hombres;Total;Total ;Condenados con cuatro o más delitos;2017;8.325
Hombres;Total;Total ;Condenados con cuatro o más delitos;2016;6.839
Hombres;Total;Total ;Condenados con cuatro o más delitos;2015;4.417
Hombres;Total;Total ;Condenados con cuatro o más delitos;2014;3.814
Hombres;Total;Total ;Condenados con cuatro o más delitos;2013;3.517
Hombres;Total;De 18 a 20 años;Total;2021;18.491
Hombres;Total;De 18 a 20 años;Total;2020;14.430
Hombres;Total;De 18 a 20 años;Total;2019;18.591
Hombres;Total;De 18 a 20 años;Total;2018;19.024
Hombres;Total;De 18 a 20 años;Total;2017;19.367
Hombres;Total;De 18 a 20 años;Total;2016;18.851
Hombres;Total;De 18 a 20 años;Total;2015;16.443
Hombres;Total;De 18 a 20 años;Total;2014;16.190
Hombres;Total;De 18 a 20 años;Total;2013;16.278
Hombres;Total;De 18 a 20 años;Condenados con un delito;2021;13.173
Hombres;Total;De 18 a 20 años;Condenados con un delito;2020;10.600
Hombres;Total;De 18 a 20 años;Condenados con un delito;2019;13.705
Hombres;Total;De 18 a 20 años;Condenados con un delito;2018;14.160
Hombres;Total;De 18 a 20 años;Condenados con un delito;2017;14.655
Hombres;Total;De 18 a 20 años;Condenados con un delito;2016;14.633
Hombres;Total;De 18 a 20 años;Condenados con un delito;2015;13.084
Hombres;Total;De 18 a 20 años;Condenados con un delito;2014;13.132
Hombres;Total;De 18 a 20 años;Condenados con un delito;2013;13.741
Hombres;Total;De 18 a 20 años;Condenados con dos delitos;2021;3.151
Hombres;Total;De 18 a 20 años;Condenados con dos delitos;2020;2.399
Hombres;Total;De 18 a 20 años;Condenados con dos delitos;2019;3.051
Hombres;Total;De 18 a 20 años;Condenados con dos delitos;2018;2.934
Hombres;Total;De 18 a 20 años;Condenados con dos delitos;2017;2.913
Hombres;Total;De 18 a 20 años;Condenados con dos delitos;2016;2.742
Hombres;Total;De 18 a 20 años;Condenados con dos delitos;2015;2.350
Hombres;Total;De 18 a 20 años;Condenados con dos delitos;2014;2.120
Hombres;Total;De 18 a 20 años;Condenados con dos delitos;2013;1.868
Hombres;Total;De 18 a 20 años;Condenados con tres delitos;2021;1.112
Hombres;Total;De 18 a 20 años;Condenados con tres delitos;2020;775
Hombres;Total;De 18 a 20 años;Condenados con tres delitos;2019;988
Hombres;Total;De 18 a 20 años;Condenados con tres delitos;2018;994
Hombres;Total;De 18 a 20 años;Condenados con tres delitos;2017;941
Hombres;Total;De 18 a 20 años;Condenados con tres delitos;2016;811
Hombres;Total;De 18 a 20 años;Condenados con tres delitos;2015;612
Hombres;Total;De 18 a 20 años;Condenados con tres delitos;2014;568
Hombres;Total;De 18 a 20 años;Condenados con tres delitos;2013;422
Hombres;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2021;1.055
Hombres;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2020;656
Hombres;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2019;847
Hombres;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2018;936
Hombres;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2017;858
Hombres;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2016;665
Hombres;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2015;397
Hombres;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2014;370
Hombres;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2013;247
Hombres;Total;De 21 a 25 años;Total;2021;29.856
Hombres;Total;De 21 a 25 años;Total;2020;23.381
Hombres;Total;De 21 a 25 años;Total;2019;30.844
Hombres;Total;De 21 a 25 años;Total;2018;31.446
Hombres;Total;De 21 a 25 años;Total;2017;31.687
Hombres;Total;De 21 a 25 años;Total;2016;31.535
Hombres;Total;De 21 a 25 años;Total;2015;28.261
Hombres;Total;De 21 a 25 años;Total;2014;28.957
Hombres;Total;De 21 a 25 años;Total;2013;29.699
Hombres;Total;De 21 a 25 años;Condenados con un delito;2021;21.418
Hombres;Total;De 21 a 25 años;Condenados con un delito;2020;17.028
Hombres;Total;De 21 a 25 años;Condenados con un delito;2019;22.548
Hombres;Total;De 21 a 25 años;Condenados con un delito;2018;23.175
Hombres;Total;De 21 a 25 años;Condenados con un delito;2017;23.709
Hombres;Total;De 21 a 25 años;Condenados con un delito;2016;24.200
Hombres;Total;De 21 a 25 años;Condenados con un delito;2015;22.236
Hombres;Total;De 21 a 25 años;Condenados con un delito;2014;23.150
Hombres;Total;De 21 a 25 años;Condenados con un delito;2013;24.105
Hombres;Total;De 21 a 25 años;Condenados con dos delitos;2021;5.106
Hombres;Total;De 21 a 25 años;Condenados con dos delitos;2020;3.980
Hombres;Total;De 21 a 25 años;Condenados con dos delitos;2019;5.065
Hombres;Total;De 21 a 25 años;Condenados con dos delitos;2018;5.187
Hombres;Total;De 21 a 25 años;Condenados con dos delitos;2017;5.004
Hombres;Total;De 21 a 25 años;Condenados con dos delitos;2016;4.757
Hombres;Total;De 21 a 25 años;Condenados con dos delitos;2015;4.148
Hombres;Total;De 21 a 25 años;Condenados con dos delitos;2014;4.095
Hombres;Total;De 21 a 25 años;Condenados con dos delitos;2013;3.950
Hombres;Total;De 21 a 25 años;Condenados con tres delitos;2021;1.744
Hombres;Total;De 21 a 25 años;Condenados con tres delitos;2020;1.333
Hombres;Total;De 21 a 25 años;Condenados con tres delitos;2019;1.736
Hombres;Total;De 21 a 25 años;Condenados con tres delitos;2018;1.680
Hombres;Total;De 21 a 25 años;Condenados con tres delitos;2017;1.594
Hombres;Total;De 21 a 25 años;Condenados con tres delitos;2016;1.499
Hombres;Total;De 21 a 25 años;Condenados con tres delitos;2015;1.102
Hombres;Total;De 21 a 25 años;Condenados con tres delitos;2014;1.038
Hombres;Total;De 21 a 25 años;Condenados con tres delitos;2013;1.023
Hombres;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2021;1.588
Hombres;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2020;1.040
Hombres;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2019;1.495
Hombres;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2018;1.404
Hombres;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2017;1.380
Hombres;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2016;1.079
Hombres;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2015;775
Hombres;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2014;674
Hombres;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2013;621
Hombres;Total;De 26 a 30 años;Total;2021;30.509
Hombres;Total;De 26 a 30 años;Total;2020;23.962
Hombres;Total;De 26 a 30 años;Total;2019;30.975
Hombres;Total;De 26 a 30 años;Total;2018;31.208
Hombres;Total;De 26 a 30 años;Total;2017;31.483
Hombres;Total;De 26 a 30 años;Total;2016;31.664
Hombres;Total;De 26 a 30 años;Total;2015;28.188
Hombres;Total;De 26 a 30 años;Total;2014;29.006
